ensembl_gene_id,gene_id
ENSG00000008083,3720.0
ENSG00000008086,6792.0
ENSG00000008118,57172.0
ENSG00000008128,728642.0
ENSG00000008130,65220.0
ENSG00000008196,7021.0
ENSG00000008197,83741.0
ENSG00000008226,9940.0
ENSG00000008256,9265.0
ENSG00000008277,53616.0
ENSG00000008282,6856.0
ENSG00000008283,1534.0
ENSG00000008294,9043.0
ENSG00000008300,1951.0
ENSG00000008311,10157.0
ENSG00000008323,55200.0
ENSG00000008324,51188.0
ENSG00000008382,84954.0
ENSG00000008394,4257.0
ENSG00000008405,1407.0
ENSG00000008438,8993.0
ENSG00000008441,4784.0
ENSG00000008513,6482.0
ENSG00000008516,64386.0
ENSG00000008517,9235.0
ENSG00000008710,5310.0
ENSG00000008735,23542.0
ENSG00000008838,9862.0
ENSG00000008853,23221.0
ENSG00000008869,54497.0
ENSG00000008952,7095.0
ENSG00000008988,6224.0
ENSG00000009307,7812.0
ENSG00000009335,9690.0
ENSG00000009413,5980.0
ENSG00000009694,10178.0
ENSG00000009709,5081.0
ENSG00000009724,10747.0
ENSG00000009765,389434.0
ENSG00000009780,199870.0
ENSG00000009790,80342.0
ENSG00000009830,29954.0
ENSG00000009844,51534.0
ENSG00000009950,51085.0
ENSG00000009954,9031.0
ENSG00000010017,10048.0
ENSG00000010030,51513.0
ENSG00000010072,83932.0
ENSG00000010165,51603.0
ENSG00000010219,8798.0
ENSG00000010244,7756.0
ENSG00000010256,7384.0
ENSG00000010270,83930.0
ENSG00000010278,928.0
ENSG00000010282,57467.0
ENSG00000010292,9918.0
ENSG00000010295,25900.0
ENSG00000010310,2696.0
ENSG00000010318,51533.0
ENSG00000010319,56920.0
ENSG00000010322,11188.0
ENSG00000010327,23166.0
ENSG00000010361,80199.0
ENSG00000010379,6540.0
ENSG00000010404,3423.0
ENSG00000010438,5646.0
ENSG00000010539,7752.0
ENSG00000010610,920.0
ENSG00000010626,10233.0
ENSG00000010671,695.0
ENSG00000010704,3077.0
ENSG00000010803,22955.0
ENSG00000010810,2534.0
ENSG00000010818,3097.0
ENSG00000010932,2326.0
ENSG00000011007,6924.0
ENSG00000011009,11313.0
ENSG00000011021,1185.0
ENSG00000011028,9902.0
ENSG00000011052,654364.0
ENSG00000011083,6534.0
ENSG00000011105,10867.0
ENSG00000011114,55727.0
ENSG00000011132,9546.0
ENSG00000011143,54903.0
ENSG00000011198,51099.0
ENSG00000011201,3730.0
ENSG00000011243,26993.0
ENSG00000011258,54799.0
ENSG00000011260,51096.0
ENSG00000011275,54476.0
ENSG00000011295,54902.0
ENSG00000011304,5725.0
ENSG00000011332,8193.0
ENSG00000011347,9066.0
ENSG00000011376,23395.0
ENSG00000011405,5286.0
ENSG00000011422,5329.0
ENSG00000011426,54443.0
ENSG00000011451,58525.0
ENSG00000011454,2844.0
ENSG00000011454,23637.0
ENSG00000011465,1634.0
ENSG00000011478,54814.0
ENSG00000011485,5536.0
ENSG00000011523,23177.0
ENSG00000011566,8491.0
ENSG00000011590,27033.0
ENSG00000011600,7305.0
ENSG00000011638,57146.0
ENSG00000011677,2556.0
ENSG00000012048,672.0
ENSG00000012061,2067.0
ENSG00000012124,933.0
ENSG00000012171,7869.0
ENSG00000012174,51360.0
ENSG00000012211,4007.0
ENSG00000012223,4057.0
ENSG00000012232,2137.0
ENSG00000012504,9971.0
ENSG00000012660,60481.0
ENSG00000012779,240.0
ENSG00000012817,8284.0
ENSG00000012822,57658.0
ENSG00000012963,55148.0
ENSG00000012983,11183.0
ENSG00000013016,30845.0
ENSG00000013275,5704.0
ENSG00000013288,23324.0
ENSG00000013293,57709.0
ENSG00000013297,5010.0
ENSG00000013306,51629.0
ENSG00000013364,9961.0
ENSG00000013374,51667.0
ENSG00000013375,5238.0
ENSG00000013392,112611.0
ENSG00000013441,1195.0
ENSG00000013503,55703.0
ENSG00000013523,23357.0
ENSG00000013561,9604.0
ENSG00000013563,1774.0
ENSG00000013573,1663.0
ENSG00000013583,50865.0
